,0
0,North Dakota
1,Hawaii
2,Nevada
3,Maryland
4,Connecticut
5,Indiana
6,Illinois
7,Maine
8,Kentucky
9,Minnesota
10,North Carolina
11,Arizona
12,Tennessee
13,Iowa
14,Delaware
15,Nebraska
16,New Hampshire
17,Arkansas
18,Rhode Island
19,West Virginia
20,Colorado
21,South Carolina
22,Missouri
23,Kansas
24,Georgia
25,Pennsylvania
26,Mississippi
27,Virginia
28,Utah
29,Wisconsin
30,Oklahoma
31,Michigan
32,Massachusetts
33,Oregon
34,New Jersey
35,Alabama
36,New Mexico
37,Louisiana
38,Vermont
39,Wyoming
